,Variable,#_Nulls,%
6,age,79,0.7883444765991418
4,geography,41,0.409140804310947
3,creditscore,1,0.009979044007584073
2,surname,1,0.009979044007584073
5,gender,1,0.009979044007584073
7,tenure,1,0.009979044007584073
